#F nifilm-tof-4.dat
#D 2011-01-20 19:33:56
#C Title: Simulated 100 A Ni film
#C Detector Angle: (3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
1.627993425070948241e-01 1.433884603414811677e-03 3.216047317228954837e-05 1.088484606146711926e-06 4.039776896378161730e+00
1.660553293572367417e-01 1.462562295483107533e-03 2.679345142493812644e-05 1.003436084030463355e-06 3.960565584684472284e+00
1.693764359443814538e-01 1.491813541392770061e-03 2.004298472923843742e-05 8.764273128456881340e-07 3.882907435965169185e+00
1.727639646632690984e-01 1.521649812220625744e-03 1.425019618532707032e-05 6.824654863747883420e-07 3.806771996044282957e+00
1.762192439565344881e-01 1.552082808465037956e-03 9.256477614927063712e-06 5.353183997765491331e-07 3.732129407886552119e+00
1.797436288356651646e-01 1.583124464634338806e-03 5.022096751925760767e-06 3.982791793689861633e-07 3.658950399888776683e+00
1.833385014123784795e-01 1.614786953927025695e-03 2.512665444523374991e-06 2.845036951628822088e-07 3.587206274400761341e+00
1.870052714406260363e-01 1.647082693005566143e-03 8.218878329566237972e-07 1.643776341412718743e-07 3.516868896471334605e+00
1.907453768694385710e-01 1.680024346865677254e-03 4.021701233914912466e-07 1.160965378453236730e-07 3.447910682815034100e+00
1.945602844068273773e-01 1.713624833802991241e-03 1.128853122754020785e-06 1.855824149448068537e-07 3.380304590995130809e+00
1.984514900949639060e-01 1.747897330479051018e-03 2.190051866685494122e-06 2.137274116826185589e-07 3.314024108818755643e+00
2.024205198968631880e-01 1.782855277088631627e-03 3.190821258042544603e-06 2.605298804054700189e-07 3.249043243939956582e+00
2.064689302948004568e-01 1.818512382630404784e-03 5.098290484624401940e-06 3.325766485531132502e-07 3.185336513666624292e+00
2.105983089006964459e-01 1.854882630283012819e-03 4.691770486289396006e-06 3.222328758759516521e-07 3.122878934967278752e+00
2.148102750787104220e-01 1.891980282888672694e-03 6.614812855204726498e-06 3.864427713304534448e-07 3.061646014673802263e+00
2.191064805802846460e-01 1.929819888546446425e-03 5.648809240601109298e-06 3.138236219500831277e-07 3.001613739876276554e+00
2.234886101918903134e-01 1.968416286317374933e-03 4.712236534870723752e-06 2.857219815183796437e-07 2.942758568506153694e+00
2.279583823957281319e-01 2.007784612043723299e-03 4.099056383085936708e-06 2.691167874376923726e-07 2.885057420104072179e+00
2.325175500436426901e-01 2.047940304284597782e-03 2.811997625808773840e-06 2.251403107088655972e-07 2.828487666768698006e+00
2.371679010445155722e-01 2.088899110370289261e-03 1.893260474298143447e-06 1.865486742440826754e-07 2.773027124283037104e+00
2.419112590654058648e-01 2.130677092577695601e-03 8.603629122985325118e-07 1.268536453624705063e-07 2.718654043414742372e+00
2.467494842467139737e-01 2.173290634429248750e-03 3.028618366799374241e-07 6.608988104134273516e-08 2.665347101387002482e+00
2.516844739316482782e-01 2.216756447117834792e-03 1.471006412131660415e-07 4.651731057184663188e-08 2.613085393516668908e+00
2.567181634102812526e-01 2.261091576060191097e-03 1.650688799422222899e-07 4.977014404707533957e-08 2.561848425016342023e+00
2.618525266784868522e-01 2.306313407581395223e-03 5.815321103131521811e-07 9.433699279815420004e-08 2.511616102957197949e+00
2.670895772120566170e-01 2.352439675733022494e-03 5.464092373510242363e-07 9.236004358721656075e-08 2.462368728389409789e+00
2.724313687562977537e-01 2.399488469247683213e-03 8.711746244622197150e-07 1.153899481377843477e-07 2.414086988617068386e+00
2.778799961314236677e-01 2.447478238632636981e-03 8.711935854163965685e-07 1.134197935441060490e-07 2.366751949624577023e+00
2.834375960540522210e-01 2.496427803405290493e-03 1.069346374378858520e-06 1.269081341912148525e-07 2.320345048651545561e+00
2.891063479751332377e-01 2.546356359473395982e-03 7.219101053268379801e-07 1.053014493848130090e-07 2.274848086913280110e+00
2.948884749346359357e-01 2.597283486662863797e-03 5.170279553568608683e-07 9.000303779912381469e-08 2.230243222463999864e+00
3.007862444333286311e-01 2.649229156396120353e-03 2.077491188401027826e-07 5.761924447828443254e-08 2.186512963200000215e+00
3.068019693219951605e-01 2.702213739524043316e-03 7.207485377183386312e-08 3.603742818461304552e-08 2.143640160000000350e+00
3.129380087084350781e-01 2.756258014314524538e-03 3.817019563484879477e-08 2.699040468773323621e-08 2.101608000000000143e+00
3.191967688826038430e-01 2.811383174600814907e-03 5.841104094841773423e-08 3.372363120013138903e-08 2.060400000000000009e+00
3.255807042602558710e-01 2.867610838092830849e-03 1.390506621950092558e-07 5.255621391210853907e-08 2.020000000000000018e+00
