#F nifilm-tof-1.dat
#D 2011-01-20 19:33:56
#C Title: Simulated 100 A Ni film
#C Detector Angle: (0.3, 'degree')

#N 5
#L Q(1/A) dQ(1/A) R() dR() L(A)
8.815435987533103840e-03 7.764976698715857347e-05 1.047445255474452663e+00 8.847010338131580665e-02 7.463846612016634907e+00
8.991744707283765708e-03 7.920276232690175037e-05 9.422382671480143967e-01 8.128150528809922892e-02 7.317496678447681369e+00
9.171579601429441855e-03 8.078681757343977074e-05 9.787985865724381229e-01 8.272832756984775660e-02 7.174016351419295390e+00
9.355011193458030727e-03 8.240255392490857455e-05 1.012145748987854255e+00 9.080353767435657419e-02 7.033349364136563864e+00
9.542111417327190856e-03 8.405060500340675797e-05 9.541984732824427828e-01 8.436320061000573967e-02 6.895440553075061985e+00
9.732953645673735749e-03 8.573161710347488391e-05 1.067524115755627001e+00 8.424302338275305169e-02 6.760235836348099880e+00
9.927612718587209423e-03 8.744624944554438241e-05 9.034482758620689946e-01 6.287493631120769089e-02 6.627682192498137503e+00
1.012616497295895472e-02 8.919517443445528577e-05 1.070129870129870042e+00 7.585542997923863662e-02 6.497727639704056202e+00
1.032868827241813399e-02 9.097907792314436140e-05 9.038461538461538547e-01 6.431562840317869845e-02 6.370321215396133496e+00
1.053526203786649476e-02 9.279865948160726462e-05 7.274939172749391725e-01 5.529705924756002366e-02 6.245412956270719462e+00
1.074596727862382577e-02 9.465463267123940504e-05 8.948863636363636465e-01 6.940714790481117280e-02 6.122953878696783647e+00
1.096088662419630183e-02 9.654772532466420398e-05 7.560000000000000053e-01 5.152739077422802821e-02 6.002895959506650669e+00
1.118010435668022849e-02 9.847867983115748860e-05 8.433734939759036653e-01 4.838743527036451497e-02 5.885192117163382974e+00
1.140370644381383421e-02 1.004482534277806576e-04 6.842105263157894912e-01 3.995070665334059939e-02 5.769796193297433540e+00
1.163178057269011016e-02 1.024572184963362431e-04 6.978723404255319229e-01 4.099642163863084082e-02 5.656662934605327209e+00
1.186441618414391282e-02 1.045063628662629894e-04 6.760961810466761257e-01 4.003538440362393314e-02 5.545747975103261673e+00
1.210170450782679236e-02 1.065964901235882473e-04 6.345864661654135874e-01 3.949467365260658086e-02 5.437007818728687880e+00
1.234373859798332772e-02 1.087284199260600093e-04 7.042553191489361319e-01 3.573291696739031714e-02 5.330399822283027333e+00
1.259061336994299340e-02 1.109029883245812219e-04 6.117867165575303634e-01 3.037141003224648472e-02 5.225882178708850745e+00
1.284242563734185570e-02 1.131210480910728347e-04 5.822179732313575995e-01 2.967632499784326680e-02 5.123413900694950840e+00
1.309927415008869250e-02 1.153834690528943066e-04 5.328258801141769752e-01 2.787646560399161325e-02 5.022954804602893120e+00
1.336125963309046753e-02 1.176911384339522171e-04 5.683802133850630600e-01 2.940463683937272546e-02 4.924465494708718083e+00
1.362848482575227359e-02 1.200449612026312332e-04 5.302197802197802234e-01 2.725797251314846306e-02 4.827907347753646050e+00
